"title";"description";"address";"gisx";"gisy";"image";"link"
"\'t Knuffeltje";"";"Prins Boudewijnlaan 142, 2610 Wilrijk";"4.4250670";"51.1749031";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8039903"
"Handjes en Voetjes";"";"Kanunnik Peetersstraat 101, 2600 Berchem";"4.4327427";"51.1902906";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8039892"
"Kinderopvang Koala\'tjes";"";"Polygoonstraat 21, 2600 Berchem";"4.4313705";"51.1927146";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8039895"
"\'t Kabouterke";"";"Statiestraat 61, 2600 Berchem";"4.4257567";"51.1980496";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8039897"
"Ukkepuk";"";"Karmelietenstraat 812, 2600 Berchem";"4.4362736";"51.1787962";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8039881"
"Wiebeltje";"";"Statiestraat 144, 2600 Berchem";"4.4300409";"51.1995555";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8039884"
"Baby Boom";"";"Grotesteenweg 171, 2600 Berchem";"4.4202050";"51.1941727";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8039887"
"\'t Driehoekje (IKG)";"";"Kloosterstraat 39, 2180 Ekeren";"4.4184346";"51.2806383";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8039869"
"JaxiJozi I";"";"Langemarkstraat 42, 2600 Berchem";"4.4445586";"51.1936961";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8039873"
"Olleke Bolleke";"";"Karmelietenstraat 811, 2600 Berchem";"4.4362736";"51.1787962";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8039878"
"Plakkepolle (IKG)";"";"Willebeeklaan 50, 2180 Ekeren";"4.4439056";"51.2752869";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8039860"
"\'t Bengeltje";"";"Groot Hagelkruis 131, 2180 Ekeren";"4.4123838";"51.2756479";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8039862"
"Bubbels";"";"Kapelsesteenweg 253, 2180 Ekeren";"4.4545892";"51.2773011";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8039864"
"Droomhuisje";"";"Ullenshofstraat 3, 2170 Merksem";"4.4353997";"51.2429239";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8039795"
"Baby-Lounge";"";"Leugenberg 98, 2180 Ekeren";"4.4115467";"51.2964011";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8039856"
"Bollemol en Dolledol";"";"Kapelsesteenweg 219, 2180 Ekeren";"4.4552592";"51.2762712";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8039858"
"De Ooievaar";"";"Gitschotellei 277b, 2140 Borgerhout";"4.4495856";"51.2000377";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8039785"
"De Grote Planeet";"";"Kluizeveldenstraat 106, 2170 Merksem";"4.4360999";"51.2444801";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8039791"
"De Kleine Planeet";"";"Kluizeveldenstraat 106, 2170 Merksem";"4.4360999";"51.2444801";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8039793"
"\'t Kakelnestje";"";"Ruggeveldlaan 631-633, 2100 Deurne";"4.4789407";"51.2247130";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8039773"
"\'t Snuffeltje (IKG)";"";"Herentalsebaan 185, 2100 Deurne";"4.4611035";"51.2092400";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8039775"
"Baby-Blues";"";"Sergeyselstraat 50, 2140 Borgerhout";"4.4331424";"51.2116530";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8039779"
"Roodkapje";"";"Bosschaert De Bouwellei 72, 2100 Deurne";"4.4708067";"51.2233408";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8039761"
"\'t Kabouterland";"";"Florent Pauwelslei 14, 2100 Deurne";"4.4715988";"51.2064369";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8039765"
"\'t Zonnebloemeke";"";"Frank Craeybeckxlaan 103, 2100 Deurne";"4.4589230";"51.2237556";"http://www.antwerpen.be/pics/Stad/Bedrijven/Lerende_stad/LS_Staf/kinderopvang/foto_kdv_tZonnebloemeke.jpg";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8039771"
"Kyousa";"";"Ten Eekhovelei 305-307, 2100 Deurne";"4.4464178";"51.2287228";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8039714"
"O\'Beebie";"";"Cruyslei 73, 2100 Deurne";"4.4590665";"51.1988564";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8039757"
"O-Kid-O";"";"Herentalsebaan 130, 2100 Deurne";"4.4586070";"51.2092877";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8039759"
"Het Vlindertje 2 (IKG)";"";"Bisschoppenhoflaan 366, 2100 Deurne";"4.4655628";"51.2337570";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8039708"
"Het Vlindertje 3 (IKG)";"";"Gijsbrecht van Deurnelaan 44, 2100 Deurne";"4.4652768";"51.2320033";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8039710"
"Ikke en Gij";"";"Raasplein 1, 2100 Deurne";"4.4592421";"51.2317020";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8039712"
"Filoeke (IKG)";"";"Venneborglaan 112, 2100 Deurne";"4.4740988";"51.2230358";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8039700"
"Het Pimpeloentje 1 (IKG)";"";"Leeuwlantstraat 53, 2100 Deurne";"4.4661252";"51.2217530";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8039704"
